=== COMPREHENSIVE TRAFFIC STUDY REPORT ===
Title,Comprehensive Comparative Traffic Simulation Study: Fixed-Time Signal vs. Modern Roundabout
Version,1.0.0
Critical Crossover Flow (veh/s),N/A
Critical Crossover Flow (veh/hr),N/A
Executive Recommendation,"Modern roundabouts exhibit significantly superior performance at lower to medium demand (< 0.60 veh/s/appr). Above this critical saturation threshold, Fixed-Time Signals maintain better queue stability and throughput."

=== VOLUME SWEEP RESULTS ===
Arrival Rate (veh/s),Total Hourly Volume (veh/h),Signal Delay (s),Roundabout Delay (s),Signal Throughput (veh/h),Roundabout Throughput (veh/h),Signal Avg Queue,Roundabout Avg Queue,Optimal Strategy,Delay Delta (%)
0.1,1440,0.0,0.0,0,0,0.1,0.0,tie,0.0
0.2,2880,0.0,0.0,1,1,0.0,0.0,tie,0.0
0.3,4320,0.0,0.0,0,1,0.2,0.0,tie,0.0
0.4,5760,0.0,0.0,0,1,0.5,0.0,tie,0.0
0.5,7200,0.0,0.0,0,2,0.8,0.0,tie,0.0
0.6,8640,0.0,0.0,0,3,0.9,0.0,tie,0.0
0.7,10080,0.0,0.0,0,3,1.2,0.0,tie,0.0
0.8,11520,0.0,0.0,0,1,1.3,0.0,tie,0.0

=== STATISTICAL MONTE CARLO VALIDATION ===
Metric,Signal Mean,Signal StdDev,Signal 95% CI,Roundabout Mean,Roundabout StdDev,Roundabout 95% CI
Delay,0.0,0.0,0.0,0.0,0.0,0.0
Throughput,0.0,0.0,0.0,0.0,0.0,0.0
Queue,0.1,0.11,0.13,0.0,0.0,0.0
